Name,Socket,Core Count,Thread Count,Base Clock,Boost Clock,TDP,Price,Performance_Class
AMD Ryzen 7 9800X3D,AM5,8,16,4.7 GHz,5.2 GHz,120 W,54883,High
AMD Ryzen 7 7800X3D,AM5,8,16,4.2 GHz,5.0 GHz,120 W,46593,High
AMD Ryzen 5 9600X,AM5,6,12,3.9 GHz,5.4 GHz,65 W,24172,Mid
AMD Ryzen 5 7600X,AM5,6,12,4.7 GHz,5.3 GHz,105 W,23238,Mid
AMD Ryzen 9 9950X3D,AM5,16,32,4.3 GHz,5.7 GHz,170 W,78892,Pro
AMD Ryzen 5 5500,AM4,6,12,3.6 GHz,4.2 GHz,65 W,10743,Entry
AMD Ryzen 7 9700X,AM5,8,16,3.8 GHz,5.5 GHz,65 W,38476,High
AMD Ryzen 5 5600,AM4,6,12,3.5 GHz,4.4 GHz,65 W,19967,Mid
AMD Ryzen 7 7700X,AM5,8,16,4.5 GHz,5.4 GHz,105 W,29777,High
AMD Ryzen 7 5800X,AM4,8,16,3.8 GHz,4.7 GHz,105 W,29071,High
AMD Ryzen 5 3600,AM4,6,12,3.6 GHz,4.2 GHz,65 W,22018,Mid
AMD Ryzen 5 5600X,AM4,6,12,3.7 GHz,4.6 GHz,65 W,25515,Mid
AMD Ryzen 7 5700X,AM4,8,16,3.4 GHz,4.6 GHz,65 W,26945,High
Intel Core i7-14700K,LGA1700,20,28,3.4 GHz,5.6 GHz,125 W,42037,Pro
Intel Core i5-12400F,LGA1700,6,12,2.5 GHz,4.4 GHz,65 W,21018,Mid
AMD Ryzen 9 9900X,AM5,12,24,4.4 GHz,5.6 GHz,120 W,45541,Pro
Intel Core i9-14900K,LGA1700,24,32,3.2 GHz,6.0 GHz,125 W,54766,Pro
AMD Ryzen 7 5800XT,AM4,8,16,3.8 GHz,4.8 GHz,105 W,25574,High
AMD Ryzen 5 7500F,AM5,6,12,3.7 GHz,5.0 GHz,65 W,20848,Mid
AMD Ryzen 5 7600,AM5,6,12,3.8 GHz,5.1 GHz,65 W,23879,Mid
AMD Ryzen 7 5800X3D,AM4,8,16,3.4 GHz,4.5 GHz,105 W,23351,High
Intel Core Ultra 7 265K,LGA1851,20,20,3.9 GHz,5.5 GHz,125 W,35252,High
AMD Ryzen 9 7900X,AM5,12,24,4.7 GHz,5.6 GHz,170 W,39153,Pro
Intel Core Ultra 9 285K,LGA1851,24,24,3.7 GHz,5.7 GHz,125 W,67727,Pro
Intel Core i5-12600KF,LGA1700,10,16,3.7 GHz,4.9 GHz,125 W,19851,High
Intel Core i5-14600K,LGA1700,14,20,3.5 GHz,5.3 GHz,125 W,32230,High
Intel Core i7-12700KF,LGA1700,12,20,3.6 GHz,5.0 GHz,125 W,31119,High
AMD Ryzen 9 5900X,AM4,12,24,3.7 GHz,4.8 GHz,105 W,31646,Pro
AMD Ryzen 5 7600X3D,AM5,6,12,4.1 GHz,4.7 GHz,65 W,40228,Mid
AMD Ryzen 9 5950X,AM4,16,32,3.4 GHz,4.9 GHz,105 W,45425,Pro
AMD Ryzen 7 5700G,AM4,8,16,3.8 GHz,4.6 GHz,65 W,27973,High
Intel Core i5-14400F,LGA1700,10,16,2.5 GHz,4.7 GHz,65 W,26040,Mid
AMD Ryzen 5 8500G,AM5,6,12,4.1 GHz,5.0 GHz,65 W,17516,Mid
AMD Ryzen 7 3700X,AM4,8,16,3.6 GHz,4.4 GHz,65 W,32580,High
AMD Ryzen 9 9950X,AM5,16,32,4.3 GHz,5.7 GHz,170 W,61190,Pro
AMD Ryzen 5 5600G,AM4,6,12,3.9 GHz,4.4 GHz,65 W,22770,Mid
Intel Core i9-12900K,LGA1700,16,24,3.2 GHz,5.2 GHz,125 W,47585,Pro
Intel Core i5-14600KF,LGA1700,14,20,3.5 GHz,5.3 GHz,125 W,28609,High
Intel Core i7-12700K,LGA1700,12,20,3.6 GHz,5.0 GHz,125 W,33572,High
Intel Core i5-12600K,LGA1700,10,16,3.7 GHz,4.9 GHz,125 W,21661,High
AMD Ryzen 7 5700,AM4,8,16,3.7 GHz,4.6 GHz,65 W,19677,High
AMD Ryzen 5 8400F,AM5,6,12,4.2 GHz,4.7 GHz,65 W,19145,Mid
AMD Ryzen 9 9900X3D,AM5,12,24,4.4 GHz,5.5 GHz,120 W,69948,Pro
AMD Ryzen 5 5600XT,AM4,6,12,3.7 GHz,4.7 GHz,65 W,23060,Mid
AMD Ryzen 7 7700,AM5,8,16,3.6 GHz,5.3 GHz,65 W,43195,High
AMD Ryzen 7 8700F,AM5,8,16,4.1 GHz,5.0 GHz,65 W,29073,High
AMD Ryzen 5 4500,AM4,6,12,3.6 GHz,4.1 GHz,65 W,11574,Entry
Intel Core Ultra 7 265KF,LGA1851,20,20,3.9 GHz,5.5 GHz,125 W,34331,High
AMD Ryzen 5 5600GT,AM4,6,12,3.6 GHz,4.6 GHz,65 W,20785,Mid
