Name,Socket/CPU,Form Factor,Memory Type,Memory Slots,Max Memory,Price
MSI H610M PRO,LGA1700,Micro-ATX,DDR4,2,64GB,6500
Gigabyte H610M H DDR4,LGA1700,Micro-ATX,DDR4,2,64GB,6800
ASUS PRIME H610M-K,LGA1700,Micro-ATX,DDR4,2,64GB,7200
ASUS PRIME H610M-A D4,LGA1700,Micro-ATX,DDR4,2,64GB,7800
ASRock H610M-HVS,LGA1700,Micro-ATX,DDR4,2,64GB,6300
ASRock H610M-ITX/eDP,LGA1700,Mini-ITX,DDR4,2,64GB,8200
Biostar H610MH,LGA1700,Micro-ATX,DDR4,2,64GB,6000
MSI PRO H610M-G DDR4,LGA1700,Micro-ATX,DDR4,2,64GB,7100
Gigabyte H610I DDR4,LGA1700,Mini-ITX,DDR4,2,64GB,8900
ASUS PRIME H610M-E D4,LGA1700,Micro-ATX,DDR4,2,64GB,7500
MSI B760M BOMBER,LGA1700,Micro-ATX,DDR4,2,64GB,9500
Gigabyte B760M DS3H,LGA1700,Micro-ATX,DDR4,4,128GB,11500
ASUS TUF GAMING B760M-PLUS,LGA1700,Micro-ATX,DDR4,4,128GB,14500
MSI MAG B760 TOMAHAWK WIFI,LGA1700,ATX,DDR5,4,192GB,18500
ASUS PRIME B760-PLUS,LGA1700,ATX,DDR4,4,128GB,13500
Gigabyte B760 GAMING X AX,LGA1700,ATX,DDR5,4,128GB,16500
MSI B760 GAMING PLUS WIFI,LGA1700,ATX,DDR5,4,128GB,15500
ASRock B760M Steel Legend,LGA1700,Micro-ATX,DDR5,4,128GB,14500
ASRock B760 Pro RS,LGA1700,ATX,DDR5,4,128GB,13500
Gigabyte B760M AORUS ELITE AX,LGA1700,Micro-ATX,DDR5,4,128GB,15500
MSI MPG B760I EDGE WIFI,LGA1700,Mini-ITX,DDR5,2,64GB,17500
ASUS ROG STRIX B760-I GAMING WIFI,LGA1700,Mini-ITX,DDR5,2,64GB,19500
Gigabyte Z790 AORUS ELITE AX,LGA1700,ATX,DDR5,4,128GB,28500
ASUS ROG STRIX Z790-F GAMING,LGA1700,ATX,DDR5,4,128GB,35500
MSI MPG Z790 CARBON WIFI,LGA1700,ATX,DDR5,4,128GB,42500
ASUS ROG MAXIMUS Z790 HERO,LGA1700,ATX,DDR5,4,128GB,62500
MSI PRO Z790-A WIFI,LGA1700,ATX,DDR5,4,128GB,24500
Gigabyte Z790 AORUS MASTER X,LGA1700,ATX,DDR5,4,128GB,49500
ASRock Z790 Taichi,LGA1700,ATX,DDR5,4,128GB,52500
ASUS PRIME Z790-P,LGA1700,ATX,DDR5,4,128GB,21500
MSI MAG Z790 TOMAHAWK WIFI,LGA1700,ATX,DDR5,4,128GB,28500
Gigabyte Z790 UD AX,LGA1700,ATX,DDR5,4,128GB,23500
ASUS TUF GAMING Z790-PLUS WIFI,LGA1700,ATX,DDR5,4,128GB,26500
EVGA Z790 DARK KINGPIN,LGA1700,ATX,DDR5,2,64GB,89500
ASRock Z790 PG Lightning,LGA1700,ATX,DDR5,4,128GB,18500
MSI Z790 GAMING PRO WIFI,LGA1700,ATX,DDR5,4,128GB,31500
Gigabyte Z790 AERO G,LGA1700,ATX,DDR5,4,128GB,36500
ASUS PROART Z790-CREATOR WIFI,LGA1700,ATX,DDR5,4,128GB,42500
MSI A520M-A PRO,AM4,Micro-ATX,DDR4,2,64GB,5500
Gigabyte B550M DS3H,AM4,Micro-ATX,DDR4,4,128GB,8500
MSI B550M PRO-VDH WIFI,AM4,Micro-ATX,DDR4,4,128GB,10500
ASUS TUF GAMING B550-PLUS,AM4,ATX,DDR4,4,128GB,13500
MSI MAG B550 TOMAHAWK,AM4,ATX,DDR4,4,128GB,15500
ASUS ROG STRIX B550-F GAMING,AM4,ATX,DDR4,4,128GB,18500
MSI X570S TOMAHAWK MAX WIFI,AM4,ATX,DDR4,4,128GB,22500
ASRock B550M Pro4,AM4,Micro-ATX,DDR4,4,128GB,9500
Gigabyte B550 AORUS ELITE AX V2,AM4,ATX,DDR4,4,128GB,16500
ASUS PRIME B550M-A,AM4,Micro-ATX,DDR4,4,128GB,9500
MSI B550-A PRO,AM4,ATX,DDR4,4,128GB,12500
ASRock B550 Taichi,AM4,ATX,DDR4,4,128GB,28500
Gigabyte B550I AORUS PRO AX,AM4,Mini-ITX,DDR4,2,64GB,16500
ASUS ROG STRIX B550-I GAMING,AM4,Mini-ITX,DDR4,2,64GB,18500
MSI MPG B550I GAMING EDGE WIFI,AM4,Mini-ITX,DDR4,2,64GB,17500
ASRock X570 Steel Legend,AM4,ATX,DDR4,4,128GB,18500
Gigabyte X570 AORUS ELITE,AM4,ATX,DDR4,4,128GB,19500
ASUS PRIME X570-P,AM4,ATX,DDR4,4,128GB,15500
MSI X570-A PRO,AM4,ATX,DDR4,4,128GB,14500
ASRock X570 Taichi,AM4,ATX,DDR4,4,128GB,28500
Gigabyte X570S AORUS MASTER,AM4,ATX,DDR4,4,128GB,42500
ASUS ROG CROSSHAIR VIII DARK HERO,AM4,ATX,DDR4,4,128GB,58500
MSI MEG X570S ACE MAX,AM4,ATX,DDR4,4,128GB,49500
ASUS PRIME A520M-K,AM4,Micro-ATX,DDR4,2,64GB,5500
Gigabyte A520M S2H,AM4,Micro-ATX,DDR4,2,64GB,5800
MSI A520M PRO,AM4,Micro-ATX,DDR4,2,64GB,6000
ASRock A520M-HVS,AM4,Micro-ATX,DDR4,2,64GB,5300
Biostar A520MH,AM4,Micro-ATX,DDR4,2,64GB,5200
Gigabyte B650M DS3H,AM5,Micro-ATX,DDR5,4,128GB,12500
MSI PRO B650-P WIFI,AM5,ATX,DDR5,4,128GB,16500
