Name,Type,Size,Speed,Price
Corsair ValueSelect 2GB DDR3,DDR3,2GB,1333MHz,800
Kingston KVR 2GB DDR3,DDR3,2GB,1333MHz,750
Crucial 2GB DDR3,DDR3,2GB,1600MHz,850
Hynix 2GB DDR3,DDR3,2GB,1333MHz,700
Samsung 2GB DDR3,DDR3,2GB,1333MHz,750
Corsair ValueSelect 4GB DDR3,DDR3,4GB,1333MHz,1200
Kingston KVR 4GB DDR3,DDR3,4GB,1600MHz,1250
Crucial 4GB DDR3,DDR3,4GB,1600MHz,1300
G.Skill RipjawsX 4GB DDR3,DDR3,4GB,1600MHz,1500
Corsair XMS3 4GB DDR3,DDR3,4GB,1600MHz,1450
Kingston HyperX Fury 4GB DDR3,DDR3,4GB,1866MHz,1600
Corsair ValueSelect 8GB DDR3,DDR3,8GB,1333MHz,2000
Kingston KVR 8GB DDR3,DDR3,8GB,1600MHz,2100
Crucial 8GB DDR3,DDR3,8GB,1600MHz,2200
G.Skill RipjawsX 8GB DDR3,DDR3,8GB,1600MHz,2400
Corsair XMS3 8GB DDR3,DDR3,8GB,1600MHz,2350
Kingston HyperX Fury 8GB DDR3,DDR3,8GB,1866MHz,2600
Corsair Vengeance 8GB DDR3,DDR3,8GB,1600MHz,2500
G.Skill TridentX 8GB DDR3,DDR3,8GB,2400MHz,3000
Corsair Dominator 8GB DDR3,DDR3,8GB,1600MHz,2800
Corsair Vengeance LP 8GB DDR3,DDR3,8GB,1600MHz,2450
Kingston KVR 16GB DDR3,DDR3,16GB,1600MHz,3800
Crucial 16GB DDR3,DDR3,16GB,1600MHz,4000
G.Skill RipjawsX 16GB DDR3,DDR3,16GB,1600MHz,4400
Corsair Vengeance 16GB DDR3,DDR3,16GB,1600MHz,4500
Kingston HyperX Beast 16GB DDR3,DDR3,16GB,2133MHz,5200
Corsair Dominator 16GB DDR3,DDR3,16GB,1600MHz,5000
G.Skill TridentX 16GB DDR3,DDR3,16GB,2400MHz,5800
Kingston KVR 32GB DDR3,DDR3,32GB,1600MHz,7500
Corsair Vengeance LP 32GB DDR3,DDR3,32GB,1600MHz,8200
Corsair Vengeance LPX 8GB DDR4,DDR4,8GB,2400MHz,2000
Corsair Vengeance LPX 8GB DDR4,DDR4,8GB,2666MHz,2200
Corsair Vengeance LPX 8GB DDR4,DDR4,8GB,3000MHz,2350
Corsair Vengeance LPX 8GB DDR4,DDR4,8GB,3200MHz,2500
Corsair Vengeance LPX 8GB DDR4,DDR4,8GB,3600MHz,2800
Kingston FURY Beast 8GB DDR4,DDR4,8GB,2666MHz,2100
Kingston FURY Beast 8GB DDR4,DDR4,8GB,3200MHz,2400
Kingston FURY Beast 8GB DDR4,DDR4,8GB,3600MHz,2700
Crucial 8GB DDR4,DDR4,8GB,2400MHz,2000
Crucial 8GB DDR4,DDR4,8GB,2666MHz,2100
Crucial 8GB DDR4,DDR4,8GB,3200MHz,2200
G.Skill Aegis 8GB DDR4,DDR4,8GB,2400MHz,2100
G.Skill Aegis 8GB DDR4,DDR4,8GB,3000MHz,2300
G.Skill Aegis 8GB DDR4,DDR4,8GB,3200MHz,2450
TeamGroup Elite 8GB DDR4,DDR4,8GB,2133MHz,1900
TeamGroup Elite 8GB DDR4,DDR4,8GB,2400MHz,2000
TeamGroup T-Force Vulcan 8GB DDR4,DDR4,8GB,3000MHz,2350
TeamGroup T-Force Vulcan 8GB DDR4,DDR4,8GB,3200MHz,2500
Patriot Signature 8GB DDR4,DDR4,8GB,2400MHz,2000
Patriot Viper Elite 8GB DDR4,DDR4,8GB,2666MHz,2250
Patriot Viper Steel 8GB DDR4,DDR4,8GB,3200MHz,2550
ADATA XPG Gammix D10 8GB DDR4,DDR4,8GB,3000MHz,2400
ADATA XPG Gammix D10 8GB DDR4,DDR4,8GB,3200MHz,2550
Corsair Vengeance RGB Pro 8GB DDR4,DDR4,8GB,3200MHz,2900
G.Skill Ripjaws V 8GB DDR4,DDR4,8GB,2400MHz,2200
G.Skill Ripjaws V 8GB DDR4,DDR4,8GB,3200MHz,2600
G.Skill Ripjaws V 8GB DDR4,DDR4,8GB,3600MHz,2900
Corsair Vengeance LPX 16GB DDR4 (2x8GB),DDR4,16GB,2400MHz,3800
Corsair Vengeance LPX 16GB DDR4 (2x8GB),DDR4,16GB,2666MHz,4000
Corsair Vengeance LPX 16GB DDR4 (2x8GB),DDR4,16GB,3000MHz,4300
Corsair Vengeance LPX 16GB DDR4 (2x8GB),DDR4,16GB,3200MHz,4500
Corsair Vengeance LPX 16GB DDR4 (2x8GB),DDR4,16GB,3600MHz,5000
G.Skill Ripjaws V 16GB DDR4 (2x8GB),DDR4,16GB,2400MHz,3900
G.Skill Ripjaws V 16GB DDR4 (2x8GB),DDR4,16GB,3000MHz,4400
G.Skill Ripjaws V 16GB DDR4 (2x8GB),DDR4,16GB,3200MHz,4600
G.Skill Ripjaws V 16GB DDR4 (2x8GB),DDR4,16GB,3600MHz,4800
G.Skill Ripjaws V 16GB DDR4 (2x8GB),DDR4,16GB,4000MHz,5400
Kingston FURY Beast 16GB DDR4 (2x8GB),DDR4,16GB,2400MHz,3800
Kingston FURY Beast 16GB DDR4 (2x8GB),DDR4,16GB,2666MHz,4000
Kingston FURY Beast 16GB DDR4 (2x8GB),DDR4,16GB,3200MHz,4500
Kingston FURY Beast 16GB DDR4 (2x8GB),DDR4,16GB,3600MHz,4700
Crucial Ballistix 16GB DDR4 (2x8GB),DDR4,16GB,3000MHz,4500
Crucial Ballistix 16GB DDR4 (2x8GB),DDR4,16GB,3200MHz,4700
Crucial Ballistix 16GB DDR4 (2x8GB),DDR4,16GB,3600MHz,5200
TeamGroup T-Force Delta RGB 16GB DDR4 (2x8GB),DDR4,16GB,3000MHz,4600
TeamGroup T-Force Delta RGB 16GB DDR4 (2x8GB),DDR4,16GB,3200MHz,4800
TeamGroup T-Force Delta RGB 16GB DDR4 (2x8GB),DDR4,16GB,3600MHz,5200
Patriot Viper Steel 16GB DDR4 (2x8GB),DDR4,16GB,3200MHz,4700
Patriot Viper Steel 16GB DDR4 (2x8GB),DDR4,16GB,3600MHz,5100
Patriot Viper Steel 16GB DDR4 (2x8GB),DDR4,16GB,4000MHz,5700
ADATA XPG Spectrix D50 16GB DDR4 (2x8GB),DDR4,16GB,3200MHz,4900
ADATA XPG Spectrix D50 16GB DDR4 (2x8GB),DDR4,16GB,3600MHz,5300
Corsair Vengeance RGB Pro 16GB DDR4 (2x8GB),DDR4,16GB,3200MHz,5500
Corsair Vengeance RGB Pro 16GB DDR4 (2x8GB),DDR4,16GB,3600MHz,6000
G.Skill Trident Z RGB 16GB DDR4 (2x8GB),DDR4,16GB,3200MHz,5600
G.Skill Trident Z RGB 16GB DDR4 (2x8GB),DDR4,16GB,3600MHz,5800
