Name,Type,Capacity,Interface,Read Speed,Write Speed,Price
Kingston A400 120GB SATA SSD,SATA SSD,120GB,SATA III,500 MB/s,320 MB/s,1800
ADATA SU650 120GB SATA SSD,SATA SSD,120GB,SATA III,520 MB/s,320 MB/s,1700
TeamGroup CX2 120GB SATA SSD,SATA SSD,120GB,SATA III,500 MB/s,350 MB/s,1650
WD Green 120GB SATA SSD,SATA SSD,120GB,SATA III,545 MB/s,405 MB/s,1900
Kingston A400 240GB SATA SSD,SATA SSD,240GB,SATA III,500 MB/s,350 MB/s,2200
Crucial BX500 240GB SATA SSD,SATA SSD,240GB,SATA III,540 MB/s,380 MB/s,2300
ADATA SU650 240GB SATA SSD,SATA SSD,240GB,SATA III,520 MB/s,360 MB/s,2150
TeamGroup CX2 240GB SATA SSD,SATA SSD,240GB,SATA III,500 MB/s,370 MB/s,2100
WD Green 240GB SATA SSD,SATA SSD,240GB,SATA III,545 MB/s,425 MB/s,2350
Kingston A400 480GB SATA SSD,SATA SSD,480GB,SATA III,500 MB/s,450 MB/s,3200
Crucial BX500 480GB SATA SSD,SATA SSD,480GB,SATA III,540 MB/s,430 MB/s,3300
ADATA SU650 480GB SATA SSD,SATA SSD,480GB,SATA III,520 MB/s,420 MB/s,3100
TeamGroup CX2 480GB SATA SSD,SATA SSD,480GB,SATA III,500 MB/s,440 MB/s,3000
WD Green 480GB SATA SSD,SATA SSD,480GB,SATA III,545 MB/s,445 MB/s,3400
Samsung 870 EVO 500GB SATA SSD,SATA SSD,500GB,SATA III,560 MB/s,530 MB/s,5500
Crucial MX500 500GB SATA SSD,SATA SSD,500GB,SATA III,560 MB/s,510 MB/s,4800
WD Blue 500GB SATA SSD,SATA SSD,500GB,SATA III,560 MB/s,530 MB/s,4700
Kingston KC600 512GB SATA SSD,SATA SSD,512GB,SATA III,550 MB/s,500 MB/s,4500
Kingston A400 960GB SATA SSD,SATA SSD,960GB,SATA III,500 MB/s,450 MB/s,5000
Crucial BX500 960GB SATA SSD,SATA SSD,960GB,SATA III,540 MB/s,430 MB/s,5200
ADATA SU650 960GB SATA SSD,SATA SSD,960GB,SATA III,520 MB/s,420 MB/s,4900
TeamGroup CX2 960GB SATA SSD,SATA SSD,960GB,SATA III,500 MB/s,440 MB/s,4800
WD Green 960GB SATA SSD,SATA SSD,960GB,SATA III,545 MB/s,445 MB/s,5300
Samsung 870 EVO 1TB SATA SSD,SATA SSD,1TB,SATA III,560 MB/s,530 MB/s,9500
Crucial MX500 1TB SATA SSD,SATA SSD,1TB,SATA III,560 MB/s,510 MB/s,8200
WD Blue 1TB SATA SSD,SATA SSD,1TB,SATA III,560 MB/s,530 MB/s,8000
Kingston KC600 1TB SATA SSD,SATA SSD,1TB,SATA III,550 MB/s,520 MB/s,7800
SanDisk Ultra 1TB SATA SSD,SATA SSD,1TB,SATA III,560 MB/s,530 MB/s,7900
Samsung 870 QVO 1TB SATA SSD,SATA SSD,1TB,SATA III,560 MB/s,530 MB/s,7000
Crucial BX500 1TB SATA SSD,SATA SSD,1TB,SATA III,540 MB/s,430 MB/s,6200
